path,label
data\raw\flower_classification\train\common_daisy\3543859178_a583739da0_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\6962789991_19f0cb15b5_c.jpg,sunflower
data\raw\flower_classification\train\rose\23361761853_132a147b6b_c.jpg,rose
data\raw\flower_classification\train\dandelion\5227298913_aa52886cb9_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\3586921148_688edefe65_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\4643607824_03835ee543_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\441607053_00550f737f_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\34470914906_be645cc5c5_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\6193587638_ae518cc455_c.jpg,dandelion
data\raw\flower_classification\train\sunflower\3877282691_94617fa0fa_c.jpg,sunflower
data\raw\flower_classification\train\sunflower\4961809142_2e5a601e5b_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\14241875700_e0b978bce7_c.jpg,common_daisy
data\raw\flower_classification\train\common_daisy\18918414330_653bb29679_c.jpg,common_daisy
data\raw\flower_classification\train\sunflower\6246866446_0902d1f545_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\4757774705_f1ca24132e_c.jpg,common_daisy
data\raw\flower_classification\train\dandelion\8651614609_d9a3ac9c86_c.jpg,dandelion
data\raw\flower_classification\train\dandelion\19555106522_601c3274c8_c.jpg,dandelion
data\raw\flower_classification\train\tulip\20681033482_3210c288bc_c.jpg,tulip
data\raw\flower_classification\train\sunflower\3838094626_5e1752f704_c.jpg,sunflower
data\raw\flower_classification\train\rose\8476375800_b6053406af_c.jpg,rose
data\raw\flower_classification\train\dandelion\7767544384_f3b73de634_c.jpg,dandelion
data\raw\flower_classification\train\rose\27149131764_0293cd8ab1_c.jpg,rose
data\raw\flower_classification\train\sunflower\6264363949_4736a67ffd_c.jpg,sunflower
data\raw\flower_classification\train\rose\3262672802_7f20464271_c.jpg,rose
data\raw\flower_classification\train\sunflower\5562296755_d50e4e558e_c.jpg,sunflower
data\raw\flower_classification\train\dandelion\8681169891_6a20b7bcc2_c.jpg,dandelion
data\raw\flower_classification\train\sunflower\3829474128_8fc8db9b95_c.jpg,sunflower
data\raw\flower_classification\train\common_daisy\27865969551_e744b2d2ed_c.jpg,common_daisy
data\raw\flower_classification\train\common_daisy\9283736225_ce271cea42_c.jpg,common_daisy
data\raw\flower_classification\train\common_daisy\50037552657_d7e251bf16_c.jpg,common_daisy
data\raw\flower_classification\train\dandelion\14072405098_a4ddd80024_c.jpg,dandelion
data\raw\flower_classification\train\sunflower\7535827902_40b0251617_c.jpg,sunflower
data\raw\flower_classification\train\sunflower\14935507565_14e4ea7bdc_c.jpg,sunflower
data\raw\flower_classification\train\dandelion\15575334102_4459eb753c_c.jpg,dandelion
data\raw\flower_classification\train\common_daisy\31438656678_da66f29728_c.jpg,common_daisy
